"PVWatts: Hourly PV Performance Data"
"Requested Location:","havlickova borova"
"Location:","BIELSKO BIALA, POLAND"
"Lat (deg N):","49.67"
"Long (deg E):","19.25"
"Elev (m):","399"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","15"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","9.8"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-8","3","0","-8","0","0"
"1","1","1","0","0","-8.4","3","0","-8.4","0","0"
"1","1","2","0","0","-8.9","3","0","-8.9","0","0"
"1","1","3","0","0","-9.3","3","0","-9.3","0","0"
"1","1","4","0","0","-9.2","2","0","-9.2","0","0"
"1","1","5","0","0","-9.1","2","0","-9.1","0","0"
"1","1","6","0","0","-9","2","0","-9","0","0"
"1","1","7","0","16","-8","2","15.727","-10.216","15.75","10.36"
"1","1","8","0","100","-7","2","158.044","-4.385","154.546","146.22"
"1","1","9","0","184","-6","2","238.788","0.067","229.209","219.008"
"1","1","10","327","126","-5.1","1","314.703","5.84","286.258","274.485"
"1","1","11","325","132","-4.3","1","332.705","7.879","301.882","289.656"
"1","1","12","148","132","-3.4","1","230.443","5.083","213.138","203.358"
"1","1","13","0","118","-4.2","1","127.4","-0.492","122.578","114.992"
"1","1","14","0","40","-5","1","39.191","-5.731","38.537","32.714"
"1","1","15","0","0","-5.8","1","0","-5.8","0","0"
"1","1","16","0","0","-5.5","1","0","-5.5","0","0"
"1","1","17","0","0","-5.3","1","0","-5.3","0","0"
"1","1","18","0","0","-5","2","0","-5","0","0"
"1","1","19","0","0","-5","2","0","-5","0","0"
"1","1","20","0","0","-4.9","2","0","-4.9","0","0"
"1","1","21","0","0","-4.9","3","0","-4.9","0","0"
"1","1","22","0","0","-5","3","0","-5","0","0"
"1","1","23","0","0","-5.1","3","0","-5.1","0","0"
"1","2","0","0","0","-5.2","3","0","-5.2","0","0"
"1","2","1","0","0","-5.4","2","0","-5.4","0","0"
"1","2","2","0","0","-5.5","2","0","-5.5","0","0"
"1","2","3","0","0","-5.7","2","0","-5.7","0","0"
"1","2","4","0","0","-5.2","1","0","-5.2","0","0"
"1","2","5","0","0","-4.6","1","0","-4.6","0","0"
"1","2","6","0","0","-4.1","1","0","-4.1","0","0"
"1","2","7","0","6","-3.7","0","5.898","-8.91","5.875","0.667"
"1","2","8","0","31","-3.3","0","31.623","-7.161","31.277","25.594"
"1","2","9","0","52","-2.9","0","51.213","-5.151","50.237","44.185"
"1","2","10","4","65","-2.1","0","65.624","-3.047","63.709","57.386"
"1","2","11","3","69","-1.4","0","68.944","-1.708","66.606","60.224"
"1","2","12","3","60","-0.6","1","59.579","-1.021","57.38","51.185"
"1","2","13","0","42","-0.7","0","40.56","-2.76","39.396","33.557"
"1","2","14","0","17","-0.9","0","16.393","-4.732","16.053","10.658"
"1","2","15","0","0","-1","0","0","-1","0","0"
"1","2","16","0","0","-0.9","0","0","-0.9","0","0"
"1","2","17","0","0","-0.9","1","0","-0.9","0","0"
"1","2","18","0","0","-0.8","2","0","-0.8","0","0"
"1","2","19","0","0","-1","2","0","-1","0","0"
"1","2","20","0","0","-1.2","2","0","-1.2","0","0"
"1","2","21","0","0","-1.4","2","0","-1.4","0","0"
"1","2","22","0","0","-1.1","2","0","-1.1","0","0"
"1","2","23","0","0","-0.8","2","0","-0.8","0","0"
"1","3","0","0","0","-0.5","2","0","-0.5","0","0"
"1","3","1","0","0","-0.8","3","0","-0.8","0","0"
"1","3","2","0","0","-1","4","0","-1","0","0"
"1","3","3","0","0","-1.3","6","0","-1.3","0","0"
"1","3","4","0","0","-1","5","0","-1","0","0"
"1","3","5","0","0","-0.7","5","0","-0.7","0","0"
"1","3","6","0","0","-0.4","5","0","-0.4","0","0"
"1","3","7","0","14","0.7","4","13.761","-0.97","13.267","7.923"
"1","3","8","0","31","1.9","3","31.576","0.574","30.245","24.582"
"1","3","9","0","52","3","3","51.185","2.329","48.664","42.643"
"1","3","10","3","67","2.9","3","67.252","2.776","63.741","57.417"
