"PVWatts: Hourly PV Performance Data"
"Requested Location:","havlickova borova"
"Location:","KLODZKO, POLAND"
"Lat (deg N):","50.43"
"Long (deg E):","16.65"
"Elev (m):","375"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","15"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","9.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-7.8","2","0","-7.8","0","0"
"1","1","1","0","0","-8.2","1","0","-8.2","0","0"
"1","1","2","0","0","-8.7","1","0","-8.7","0","0"
"1","1","3","0","0","-9.1","1","0","-9.1","0","0"
"1","1","4","0","0","-9.2","1","0","-9.2","0","0"
"1","1","5","0","0","-9.3","1","0","-9.3","0","0"
"1","1","6","0","0","-9.4","2","0","-9.4","0","0"
"1","1","7","0","0","-8","1","0","-8","0","0"
"1","1","8","0","101","-6.5","1","181.71","-2.511","176.313","167.462"
"1","1","9","0","191","-5.1","1","273.456","3.83","258.331","247.342"
"1","1","10","452","103","-3.6","2","344.143","6.444","308.607","296.184"
"1","1","11","359","123","-2.1","3","335.685","6.683","304.962","292.647"
"1","1","12","60","123","-0.6","4","167.307","2.781","157.337","148.945"
"1","1","13","0","99","-0.7","3","103.892","0.703","99.458","92.383"
"1","1","14","0","45","-0.9","2","44.627","-1.542","43.127","37.215"
"1","1","15","0","0","-1","2","0","-1","0","0"
"1","1","16","0","0","-1.1","2","0","-1.1","0","0"
"1","1","17","0","0","-1.1","2","0","-1.1","0","0"
"1","1","18","0","0","-1.2","2","0","-1.2","0","0"
"1","1","19","0","0","-0.9","3","0","-0.9","0","0"
"1","1","20","0","0","-0.5","4","0","-0.5","0","0"
"1","1","21","0","0","-0.2","6","0","-0.2","0","0"
"1","1","22","0","0","-0.3","6","0","-0.3","0","0"
"1","1","23","0","0","-0.5","6","0","-0.5","0","0"
"1","2","0","0","0","-0.6","7","0","-0.6","0","0"
"1","2","1","0","0","-0.5","6","0","-0.5","0","0"
"1","2","2","0","0","-0.5","6","0","-0.5","0","0"
"1","2","3","0","0","-0.4","6","0","-0.4","0","0"
"1","2","4","0","0","-0.3","4","0","-0.3","0","0"
"1","2","5","0","0","-0.3","2","0","-0.3","0","0"
"1","2","6","0","0","-0.2","1","0","-0.2","0","0"
"1","2","7","0","0","0.1","2","0","0.1","0","0"
"1","2","8","0","84","0.3","3","136.427","1.953","129.915","122.163"
"1","2","9","0","169","0.6","4","229.881","4.961","216.116","206.259"
"1","2","10","347","116","1.1","4","305.968","7.717","274.445","263.007"
"1","2","11","359","123","1.7","5","335.971","8.347","303.073","290.813"
"1","2","12","170","130","2.2","6","239.656","6.204","220.153","210.19"
"1","2","13","0","142","2.2","6","159.258","4.374","150.099","141.879"
"1","2","14","0","66","2.2","6","69.852","2.388","66.395","60.017"
"1","2","15","0","0","2.2","6","0","2.2","0","0"
"1","2","16","0","0","2.3","5","0","2.3","0","0"
"1","2","17","0","0","2.5","4","0","2.5","0","0"
"1","2","18","0","0","2.6","3","0","2.6","0","0"
"1","2","19","0","0","2.4","5","0","2.4","0","0"
"1","2","20","0","0","2.3","7","0","2.3","0","0"
"1","2","21","0","0","2.1","9","0","2.1","0","0"
"1","2","22","0","0","2","8","0","2","0","0"
"1","2","23","0","0","2","7","0","2","0","0"
"1","3","0","0","0","1.9","6","0","1.9","0","0"
"1","3","1","0","0","1.7","5","0","1.7","0","0"
"1","3","2","0","0","1.4","5","0","1.4","0","0"
"1","3","3","0","0","1.2","5","0","1.2","0","0"
"1","3","4","0","0","1.4","4","0","1.4","0","0"
"1","3","5","0","0","1.6","3","0","1.6","0","0"
"1","3","6","0","0","1.8","2","0","1.8","0","0"
"1","3","7","0","1","2","2","0","2","0","0"
"1","3","8","0","142","2.2","2","312.425","9.72","287.713","275.898"
"1","3","9","0","264","2.4","3","433.191","13.723","391.925","376.919"
"1","3","10","664","101","2.7","4","438.443","13.344","379.12","364.527"
