"PVWatts: Hourly PV Performance Data"
"Requested Location:","Prague"
"Location:","PRAGUE, CZECH REPUBLIC"
"Lat (deg N):","50.1"
"Long (deg E):","14.28"
"Elev (m):","366"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","15"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","9.5"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","2.8","9","0","2.8","0","0"
"1","1","1","0","0","2.8","10","0","2.8","0","0"
"1","1","2","0","0","2.6","11","0","2.6","0","0"
"1","1","3","0","0","2.3","10","0","2.3","0","0"
"1","1","4","0","0","2","9.3","0","2","0","0"
"1","1","5","0","0","1.8","8.7","0","1.8","0","0"
"1","1","6","0","0","1.1","8","0","1.1","0","0"
"1","1","7","0","0","1.5","7.5","0","1.5","0","0"
"1","1","8","0","12","2","7","11.622","0.818","11.121","5.817"
"1","1","9","0","38","1.4","7","36.987","0.706","35.407","29.645"
"1","1","10","5","89","1.7","7","94.428","2.118","89.708","82.843"
"1","1","11","54","122","2.1","7","163.135","3.891","152.81","144.526"
"1","1","12","105","131","2.4","7","207.861","5.134","192.889","183.626"
"1","1","13","66","108","3","7","151.654","4.76","140.866","132.861"
"1","1","14","4","68","2","7","72.677","2.194","68.978","62.547"
"1","1","15","0","16","-0.2","7","15.502","-1.204","14.96","9.585"
"1","1","16","0","0","-0.2","7.7","0","-0.2","0","0"
"1","1","17","0","0","-0.3","8.3","0","-0.3","0","0"
"1","1","18","0","0","-0.3","9","0","-0.3","0","0"
"1","1","19","0","0","-0.2","8.5","0","-0.2","0","0"
"1","1","20","0","0","0","8","0","0","0","0"
"1","1","21","0","0","-0.4","10","0","-0.4","0","0"
"1","1","22","0","0","-0.9","10.3","0","-0.9","0","0"
"1","1","23","0","0","-1.3","10.7","0","-1.3","0","0"
"1","2","0","0","0","-1.8","11","0","-1.8","0","0"
"1","2","1","0","0","-1.7","12.7","0","-1.7","0","0"
"1","2","2","0","0","-1.6","14.3","0","-1.6","0","0"
"1","2","3","0","0","-1.5","16","0","-1.5","0","0"
"1","2","4","0","0","-1.5","14.7","0","-1.5","0","0"
"1","2","5","0","0","-1.6","13.3","0","-1.6","0","0"
"1","2","6","0","0","-1.6","12","0","-1.6","0","0"
"1","2","7","0","0","-1.3","12","0","-1.3","0","0"
"1","2","8","0","9","-1","12","8.712","-1.851","8.43","3.175"
"1","2","9","0","38","-0.4","11","36.972","-0.906","35.634","29.868"
"1","2","10","0","70","-0.4","12","70.108","-0.419","67.433","61.034"
"1","2","11","0","90","-0.3","13","90.974","-0.036","87.363","80.548"
"1","2","12","0","92","-0.3","14","93.053","-0.012","89.35","82.493"
"1","2","13","0","87","-0.7","12.3","88.915","-0.437","85.529","78.753"
"1","2","14","0","59","-1.2","10.7","60.108","-1.321","58.034","51.825"
